650	3.7351	0.3869	4.9308	2.5018E-08
651	3.7039	0.3793	4.8939	2.5198E-08
652	3.6727	0.3722	4.857	2.60979E-08
653	3.6414	0.3659	4.8083	2.59179E-08
654	3.6126	0.3601	4.7595	2.64579E-08
655	3.5841	0.3545	4.7045	2.5378E-08
656	3.5555	0.3495	4.6495	2.59179E-08
657	3.5269	0.3451	4.5893	2.5558E-08
658	3.4982	0.341	4.5291	2.86177E-08
659	3.4695	0.3376	4.4652	2.75378E-08
660	3.4408	0.3346	4.4012	2.98776E-08
661	3.4062	0.3318	4.3331	2.98776E-08
662	3.3717	0.3294	4.265	2.93377E-08
663	3.3371	0.3276	4.1928	2.95176E-08
664	3.299	0.326	4.1206	2.86177E-08
665	3.2582	0.3245	4.0456	2.95176E-08
666	3.2174	0.3234	3.9705	2.95176E-08
667	3.1762	0.3227	3.8983	2.95176E-08
668	3.1327	0.322	3.8261	2.89777E-08
669	3.0891	0.3216	3.7529	3.00576E-08
670	3.0455	0.3213	3.6797	2.98776E-08
671	2.9993	0.3212	3.6073	2.91577E-08
672	2.9519	0.3212	3.5349	3.02376E-08
673	2.9045	0.3214	3.4635	3.07775E-08
674	2.8569	0.3214	3.3921	3.20374E-08
675	2.8087	0.3211	3.3224	2.98776E-08
676	2.7606	0.3208	3.2527	2.98776E-08
677	2.7124	0.3206	3.1841	3.07775E-08
678	2.6652	0.3205	3.1156	3.09575E-08
679	2.6183	0.3201	3.0562	3.09575E-08
680	2.5713	0.3194	2.9968	3.18575E-08
681	2.5248	0.3186	2.9496	3.29374E-08
682	2.4788	0.3181	2.9024	3.41973E-08
683	2.4329	0.3173	2.8623	3.29374E-08
684	2.387	0.3163	2.8223	3.25774E-08
685	2.3436	0.3157	2.7859	3.38373E-08
686	2.3004	0.3151	2.7494	3.47372E-08
687	2.2572	0.314	2.718	3.59971E-08
688	2.2162	0.3135	2.6866	3.67171E-08
689	2.1772	0.3126	2.6597	3.81569E-08
690	2.1382	0.3123	2.6328	3.6897E-08
691	2.0997	0.3122	2.6093	3.95968E-08
692	2.0656	0.3122	2.5857	4.04968E-08
693	2.0315	0.3123	2.5662	4.03168E-08
694	1.9974	0.3125	2.5468	4.10367E-08
695	1.9665	0.313	2.524	4.28366E-08
696	1.937	0.314	2.5013	4.53564E-08
697	1.9076	0.3148	2.4806	4.62563E-08
698	1.8791	0.3164	2.4599	4.67963E-08
699	1.853	0.3181	2.4376	5.0036E-08
700	1.827	0.3199	2.4154	5.12959E-08
701	1.801	0.3219	2.3922	5.0396E-08
702	1.7777	0.3243	2.369	5.09359E-08
